open_time,open,high,low,close,volume,spread,real_volume
2018-07-17 05:00:00,112.431,112.437,112.354,112.354,800,0,0
2018-07-17 06:00:00,112.355,112.417,112.341,112.396,760,0,0
2018-07-17 07:00:00,112.395,112.45,112.391,112.421,998,0,0
2018-07-17 08:00:00,112.422,112.447,112.347,112.368,1268,0,0
2018-07-17 09:00:00,112.369,112.39,112.237,112.352,1582,0,0
2018-07-17 10:00:00,112.353,112.405,112.334,112.357,1076,0,0
2018-07-17 11:00:00,112.358,112.399,112.312,112.392,941,0,0
2018-07-17 12:00:00,112.393,112.538,112.392,112.531,938,0,0
2018-07-17 13:00:00,112.532,112.625,112.507,112.619,934,0,0
2018-07-17 14:00:00,112.62,112.678,112.589,112.667,1083,0,0
2018-07-17 15:00:00,112.668,112.786,112.63,112.774,1463,0,0
2018-07-17 16:00:00,112.775,112.923,112.65,112.837,2475,0,0
2018-07-17 17:00:00,112.836,112.848,112.737,112.815,1658,0,0
2018-07-17 18:00:00,112.816,112.901,112.794,112.885,1338,0,0
2018-07-17 19:00:00,112.884,112.935,112.813,112.832,1646,0,0
2018-07-17 20:00:00,112.831,112.917,112.822,112.84,908,0,0
2018-07-17 21:00:00,112.841,112.889,112.833,112.857,575,0,0
2018-07-17 22:00:00,112.856,112.899,112.845,112.897,411,0,0
2018-07-17 23:00:00,112.895,112.922,112.867,112.917,1028,0,0
2018-07-18 00:00:00,112.916,112.958,112.895,112.936,465,0,0
2018-07-18 01:00:00,112.937,113.087,112.937,113.036,1371,0,0
2018-07-18 02:00:00,113.035,113.071,112.963,112.99,1428,0,0
2018-07-18 03:00:00,112.991,113.02,112.891,112.949,1435,0,0
2018-07-18 04:00:00,112.95,112.976,112.931,112.936,438,0,0
2018-07-18 05:00:00,112.937,112.971,112.932,112.963,577,0,0
2018-07-18 06:00:00,112.964,113.025,112.962,113.013,776,0,0
2018-07-18 07:00:00,113.014,113.059,112.993,113.016,1364,0,0
2018-07-18 08:00:00,113.015,113.147,113.012,113.083,1500,0,0
2018-07-18 09:00:00,113.084,113.113,113.03,113.064,1130,0,0
2018-07-18 10:00:00,113.065,113.083,113.01,113.043,1327,0,0
2018-07-18 11:00:00,113.044,113.046,112.965,112.972,1109,0,0
2018-07-18 12:00:00,112.973,113.012,112.939,113.007,880,0,0
2018-07-18 13:00:00,113.006,113.042,112.963,112.969,990,0,0
2018-07-18 14:00:00,112.968,112.969,112.721,112.83,1923,0,0
2018-07-18 15:00:00,112.829,112.887,112.76,112.847,1707,0,0
2018-07-18 16:00:00,112.848,112.886,112.775,112.788,1628,0,0
2018-07-18 17:00:00,112.787,112.877,112.732,112.831,1158,0,0
2018-07-18 18:00:00,112.83,112.832,112.751,112.811,971,0,0
2018-07-18 19:00:00,112.812,112.818,112.778,112.817,418,0,0
2018-07-18 20:00:00,112.816,112.856,112.81,112.856,631,0,0
2018-07-18 21:00:00,112.857,112.911,112.848,112.89,591,0,0
2018-07-18 22:00:00,112.889,112.899,112.838,112.861,465,0,0
2018-07-18 23:00:00,112.87,112.913,112.8,112.851,3103,0,0
2018-07-19 00:00:00,112.852,112.883,112.843,112.87,457,0,0
